Millenium,2021,2020,2019,2018,2017
Fatturato,35.858,23.439,58.339,35.562,89.632
Proventi dalle attività ordinarie,36.332,32.610,64.628,35.808,90.010
Risultato operativo,-2.371,121,3.357,-9.852,-3.234
Costo dell'indebitamento finanziario netto,722,771,2.365,2.365,1.866
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-16.157,-2.524,394,-10.304,-3.009
Utile netto: quota del gruppo,-16.303,-2.738,421,-9.839,-2.404
Chiusura esercizio fiscale,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
