Millenium,2023,2022,2021,2020,2019
Fatturato,104.406,83.251,58.992,43.460.628,51.126.324
Acquisti consumati,5.626,5.040,3.760,2.994.114,3.585.846
Spese per il personale,43.237,29.157,22.978,15.936.832,18.643.417
Risultato d'esercizio,6.368,7.671,3.991,2.524.714,4.208.144
Imposte sugli utili,1.179,1.947,888,448.296,1.456.940
Utile netto,2.232,3.425,2.471,1.685.118,2.503.326
Utile netto: quota del gruppo,1.813,3.094,2.183,1.493.286,2.351.550
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
