Millenium,2023,2022,2021
Fatturato,2.098,1.750,1.989
Acquisti consumati,6,10,8
Spese per il personale,1.312,1.157,1.159
Risultato d'esercizio,171,38,34
Imposte sugli utili,50,10,25
Utile netto,101,9,-12
Utile netto: quota del gruppo,101,9,-12
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
