Millenium,2023,2022,2021,2020,2019
Fatturato,128.922,116.602,76.374,52.094,33.727
Proventi dalle attività ordinarie,130.106,118.806,77.120,52.947,33.912
Risultato operativo,19.459,16.228,5.099,5.031,5.226
Costo dell'indebitamento finanziario netto,7.541,4.594,3.876,1.099,-42
Risultato delle aziende associate al bilancio di Gruppo,-14,-29,0,29,-7
Risultato netto delle attività dismesse,,,,,
Utile netto,8.347,7.840,-410,2.473,5.250
Utile netto: quota del gruppo,8.286,7.846,-981,1.594,5.008
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
