Millenium,2023,2022,2021,2020,2019
Fatturato,158.648,137.644,110.575,104.540,140.440
Proventi dalle attività ordinarie,158.648,137.644,110.575,104.540,140.440
Risultato operativo,4.876,-76.295,-5.157,-3.405,20.347
Costo dell'indebitamento finanziario netto,2.677,1.221,1.175,1.673,305
Risultato delle aziende associate al bilancio di Gruppo,260,38,122,345,
Risultato netto delle attività dismesse,,,,,
Utile netto,3.595,-75.166,-3.846,13.900,18.209
Utile netto: quota del gruppo,3.595,-75.166,-3.846,13.900,18.209
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
