Millenium,2023,2022,2021,2020,2019
Premi emessi,49.496,45.141,73.985,67.393,68.137
Prodotto netto bancario,7.479,7.376,1.953,1.504,1.354
Prodotti finanziari al netto degli oneri (escluso costo di indebitamento netto),12.911,-16.952,22.242,15.600,23.891
Proventi dalle attività ordinarie,71.318,37.147,99.088,85.242,94.635
Risultato operativo,22.998,-6.990,5.325,4.329,4.611
Spese di finanziamento,17.688,-10.737,736,837,1.024
Risultato delle aziende associate al bilancio di Gruppo,264,194,-10,-102,
Risultato netto delle attività dismesse,84,-93,0,-183,474
Utile netto,4.122,2.470,3.195,2.032,2.939
Utile netto: quota del gruppo,3.747,2.235,2.847,1.743,2.670
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
