Millenium,2022,2021,2020,2019,2018
Fatturato,73.908,51.662,59.400.446,60.637.464,60.893.264
Acquisti consumati,16.839,12.742,12.574.856,12.265.264,17.489.435
Spese per il personale,4.660,4.950,6.555.631,5.859.115,5.697.299
Risultato d'esercizio,13.438,12.361,10.521.601,10.164.403,7.761.910
Imposte sugli utili,3.332,3.212,2.766.440,2.822.786,2.289.512
Utile netto,10.591,9.554,8.164.456,7.521.889,5.778.102
Utile netto: quota del gruppo,10.591,9.554,8.164.456,7.521.889,5.778.102
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
