Millenium,2023,2022,2021,2020,2019
Fatturato,828.000,845.000,846.200,749.500,923.600
Proventi dalle attività ordinarie,828.000,845.000,846.200,749.500,923.600
Risultato operativo,81.200,66.600,96.000,32.500,102.500
Costo dell'indebitamento finanziario netto,5.900,4.300,4.500,5.000,6.800
Risultato delle aziende associate al bilancio di Gruppo,-200,-3.100,-2.100,,
Risultato netto delle attività dismesse,,,,,
Utile netto,57.000,50.200,72.400,31.900,68.800
Utile netto: quota del gruppo,57.000,50.100,72.400,31.700,68.500
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
