Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,3.961,1.458,2.764,1.481,1.002
Oneri generali d'esercizio,6.719,5.648,3.722,2.839,3.241
Risultato di gestione lordo,-2.758,-4.190,-984,-1.418,-2.539
Costo del rischio,-52,-66,-196,177,
Risultato di gestione,-2.810,-4.256,-1.180,-1.241,-2.539
Risultato delle aziende associate al bilancio di Gruppo,0,-3,-44,0,
Risultato corrente ante imposte,-2.810,-4.259,-1.224,-1.241,-2.539
Utile netto,-3.039,-4.482,-1.717,-1.422,-2.740
Utile netto: quota del gruppo,-1.900,-3.358,-1.716,-1.423,-2.740
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
