Millenium,2023,2022,2021
Fatturato,2.862.922,3.045.778,678.411
Acquisti consumati,3.248,1.641,3.855
Spese per il personale,1.447.424,989.636,704.849
Risultato d'esercizio,4.566.688,1.138.297,-1.221.227
Imposte sugli utili,1.296.052,103.737,16.420
Utile netto,3.029.135,271.702,3.473.954
Utile netto: quota del gruppo,2.241.794,262.624,3.484.768
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
