Millenium,2023,2022
Fatturato,15.786,10.787
Acquisti consumati,1.832,1.301
Spese per il personale,6.437,4.237
Risultato d'esercizio,536,344
Imposte sugli utili,-193,-75
Utile netto,419,293
Utile netto: quota del gruppo,419,293
Chiusura esercizio fiscale,2023-12-31,2022-12-31
Durata esercizio fiscale (mesi),12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP
