Millenium,2023,2022,2021,2020,2019
Fatturato,1.148.210,1.361.138,1.237.654,881.305,706.319
Proventi dalle attività ordinarie,1.148.210,1.361.138,1.237.654,881.305,706.319
Risultato operativo,216.261,351.260,419.499,324.226,217.861
Costo dell'indebitamento finanziario netto,28.291,34.072,22.506,1.375,1.279
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,158.508,240.110,310.732,248.296,175.735
Utile netto: quota del gruppo,159.849,240.907,310.968,247.871,175.735
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
