Millenium,2023,2022,2021,2020,2019
Fatturato,13.896,8.758,3.533,1.660,2.799
Acquisti consumati,485,267,131,89,111
Spese per il personale,1.340,1.046,628,578,732
Risultato d'esercizio,318,-67,-1.141,-1.826,-1.493
Imposte sugli utili,54,38,11,127,40
Utile netto,266,-155,-1.178,-1.965,-1.522
Utile netto: quota del gruppo,266,-155,-1.178,-1.965,-1.522
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
