Millenium,2023,2022,2021
Prodotto netto bancario,19.332,15.320,12.135
Oneri generali d'esercizio,13.472,11.185,9.830
Risultato di gestione lordo,5.860,4.135,2.305
Costo del rischio,-1.685,-1.466,-1.235
Risultato di gestione,4.175,2.669,1.070
Risultato delle aziende associate al bilancio di Gruppo,,,
Risultato corrente ante imposte,4.565,2.887,1.483
Utile netto,2.885,1.822,1.087
Utile netto: quota del gruppo,2.885,1.822,1.087
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS
