Millenium,2023,2022,2021,2020,2019
Fatturato,92.117,88.600,78.466,71.236,116.278
Proventi dalle attività ordinarie,92.117,88.600,78.466,71.236,116.278
Risultato operativo,-1.657,3.259,3.975,887,16.560
Costo dell'indebitamento finanziario netto,716,359,336,333,329
Risultato delle aziende associate al bilancio di Gruppo,118,153,184,49,
Risultato netto delle attività dismesse,,,,,
Utile netto,-1.859,2.619,2.907,428,12.889
Utile netto: quota del gruppo,-1.829,2.655,2.924,421,12.810
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
