Millenium,2023,2022,2021,2020,2019
Fatturato,12.283,10.574,9.990,7.582,4.280
Acquisti consumati,96,61,46,19,51
Spese per il personale,10.873,9.666,6.125,3.169,2.000
Risultato d'esercizio,-7.481,-7.575,-633,1.115,797
Imposte sugli utili,-10,118,-276,297,215
Utile netto,-7.699,-7.793,-429,793,571
Utile netto: quota del gruppo,-7.699,-7.793,-429,793,571
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
