Millenium,2023,2022,2021,2020,2019
Fatturato,4.231.721,3.423.324,2.844.069,2.569.224,3.297.404
Proventi dalle attività ordinarie,4.259.511,3.463.723,2.864.782,2.630.778,3.338.364
Risultato operativo,216.540,157.989,129.959,123.675,188.902
Costo dell'indebitamento finanziario netto,9.380,4.933,4.899,5.437,6.806
Risultato delle aziende associate al bilancio di Gruppo,129,2.157,-2.446,964,-3.474
Risultato netto delle attività dismesse,,,,,
Utile netto,129.508,90.353,80.471,54.207,114.695
Utile netto: quota del gruppo,125.356,89.890,83.301,57.801,112.981
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
