Millenium,2023,2022,2021,2020,2019
Fatturato,91.024,60.663,27.937.085,18.265.937,17.974.807
Proventi dalle attività ordinarie,98.263,69.999,33.669.015,22.040.287,20.570.916
Risultato operativo,7.515,5.783,2.282.704,3.435.297,3.826.217
Costo dell'indebitamento finanziario netto,1.329,1.232,-919.918,74.897,65.486
Risultato delle aziende associate al bilancio di Gruppo,,,,,0
Risultato netto delle attività dismesse,,,,,0
Utile netto,3.508,1.693,3.853.061,2.719.888,2.582.294
Utile netto: quota del gruppo,3.558,1.659,3.647.392,2.550.868,2.534.256
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
