Millenium,2023,2022,2021,2020,2019
Fatturato,142.266,142.289,132.715,97.482,66.272
Proventi dalle attività ordinarie,172.629,161.000,132.715,97.482,66.361
Risultato operativo,10.437,9.750,25.869,22.040,22.647
Costo dell'indebitamento finanziario netto,3.569,1.056,797,279,323
Risultato delle aziende associate al bilancio di Gruppo,460,39,0,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.749,3.524,20.747,19.498,20.249
Utile netto: quota del gruppo,4.749,3.476,20.747,19.498,20.249
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
