Millenium,2023,2022,2021,2020,2019
Fatturato,779.183,764.580,653.278,607.382,682.686
Proventi dalle attività ordinarie,787.915,774.633,653.278,607.382,682.686
Risultato operativo,78.458,72.744,78.547,49.518,60.048
Costo dell'indebitamento finanziario netto,32.498,27.263,18.241,26.824,30.949
Risultato delle aziende associate al bilancio di Gruppo,941,777,294,271,187
Risultato netto delle attività dismesse,,,,,
Utile netto,178.637,30.276,39.425,8.122,26.105
Utile netto: quota del gruppo,170.648,25.271,38.014,8.607,24.000
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
