Millenium,2023,2022,2021,2020,2019
Fatturato,231.220,100.060,144.159,144.012,142.622
Proventi dalle attività ordinarie,231.220,100.060,144.159,144.012,142.622
Risultato operativo,-54.741,-30.446,-15.693,-14.318,-18.605
Costo dell'indebitamento finanziario netto,0,1.534,4.156,4.695,6.198
Risultato delle aziende associate al bilancio di Gruppo,-396,-245,-365,-285,-359
Risultato netto delle attività dismesse,,,,,
Utile netto,-62.204,-34.730,-20.617,-22.201,-16.468
Utile netto: quota del gruppo,-62.204,-34.739,-20.617,-22.201,-16.468
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
