Millenium,2023,2022,2021,2020,2019
Fatturato,20.013,15.554,8.818,5.586,5.623
Acquisti consumati,5.004,3.812,2.825,2.036,
Spese per il personale,5.596,4.589,3.541,2.291,1.461
Risultato d'esercizio,6.076,4.346,415,188,1.136
Imposte sugli utili,1.716,1.312,108,41,345
Utile netto,3.963,2.790,170,56,705
Utile netto: quota del gruppo,3.963,2.788,174,56,705
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
