Millenium,2023,2022,2021,2020,2019
Fatturato,19.506,19.833,15.817,9.270,7.208
Acquisti consumati,15.418,16.355,12.751,7.417,5.639
Spese per il personale,1.661,1.719,1.072,544,335
Risultato d'esercizio,-624,-1.318,-993,-205,170
Imposte sugli utili,-596,-674,-386,-170,8
Utile netto,-818,-1.448,-961,-238,1
Utile netto: quota del gruppo,-818,-1.448,-961,-238,1
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
