Millenium,2023,2022,2021,2020,2019
Fatturato,1.487.136,1.379.187,1.112.909,973.833,904.313
Proventi dalle attività ordinarie,1.487.136,1.379.187,1.112.909,973.833,904.313
Risultato operativo,227.125,192.462,135.771,139.987,88.660
Costo dell'indebitamento finanziario netto,12.069,7.637,7.781,7.376,7.526
Risultato delle aziende associate al bilancio di Gruppo,608,368,-777,20,262
Risultato netto delle attività dismesse,,,,0,0
Utile netto,152.704,137.574,89.549,108.234,52.417
Utile netto: quota del gruppo,145.733,133.693,89.549,103.047,49.338
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
