Millenium,2023,2022,2021,2020,2019
Fatturato,2.564,2.183,2.098,2.058,1.820
Proventi dalle attività ordinarie,2.639,2.313,2.163,2.127,1.893
Risultato operativo,681,641,583,605,516
Costo dell'indebitamento finanziario netto,94,59,63,54,68
Risultato delle aziende associate al bilancio di Gruppo,3,3,2,2,101
Risultato netto delle attività dismesse,,,,,
Utile netto,467,436,384,406,423
Utile netto: quota del gruppo,439,407,363,385,417
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
