Millenium,2023,2022,2021,2020,2019
Fatturato,18.035,36.590,38.242,41.291,37.737
Proventi dalle attività ordinarie,18.035,36.590,38.242,41.291,37.737
Risultato operativo,-3.141,-1.129,-3.227,-2.341,-2.030
Costo dell'indebitamento finanziario netto,718,1.004,1.420,446,1.258
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,-11.028
Utile netto,-3.973,-2.094,-4.623,-2.647,-15.823
Utile netto: quota del gruppo,-3.973,-2.078,-4.623,-2.647,-15.823
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
