Millenium,2023,2022,2021
Fatturato,46.266,37.761,28.801
Proventi dalle attività ordinarie,46.468,37.995,29.150
Risultato operativo,6.469,5.594,4.953
Costo dell'indebitamento finanziario netto,230,150,119
Risultato delle aziende associate al bilancio di Gruppo,,,17
Risultato netto delle attività dismesse,,,
Utile netto,4.242,3.691,3.622
Utile netto: quota del gruppo,4.242,3.691,3.622
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS
