Millenium,2023,2022,2021,2020,2019
Fatturato,740.940,713.840,601.407,856.089,1.021.594
Proventi dalle attività ordinarie,740.940,713.840,601.407,856.089,1.021.594
Risultato operativo,304.183,220.815,168.370,145.119,189.946
Costo dell'indebitamento finanziario netto,14.238,32.046,48.199,84.425,124.743
Risultato delle aziende associate al bilancio di Gruppo,5.391,2.294,537,344,-546
Risultato netto delle attività dismesse,-35.577,294.131,88.488,61.434,
Utile netto,180.497,383.098,174.450,109.541,32.771
Utile netto: quota del gruppo,178.668,378.939,172.897,107.885,31.553
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
