Millenium,2023,2022,2021,2020,2019
Fatturato,75.549,90.641,94.655,81.440,75.621
Proventi dalle attività ordinarie,75.549,90.641,94.655,81.440,75.621
Risultato operativo,-2.513,2.527,1.828,2.336,11
Costo dell'indebitamento finanziario netto,1.160,635,664,455,348
Risultato delle aziende associate al bilancio di Gruppo,123,163,175,-8,29
Risultato netto delle attività dismesse,-943,-460,,,
Utile netto,-4.015,770,2.383,789,201
Utile netto: quota del gruppo,-4.350,638,1.817,592,64
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
