Millenium,2023,2022,2021,2020,2019
Fatturato,1.156.271,1.251.808,1.135.520,915.825,1.377.261
Proventi dalle attività ordinarie,1.156.271,1.251.808,1.135.520,915.825,1.377.261
Risultato operativo,72.022,127.938,143.480,-61.541,149.698
Costo dell'indebitamento finanziario netto,15.123,14.096,14.521,8.779,18.594
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,-5.192,,
Utile netto,26.235,65.352,81.137,-71.696,87.365
Utile netto: quota del gruppo,26.060,69.609,78.647,-66.397,87.281
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
