Millenium,2023,2022,2021,2020,2019
Fatturato,489.871,896.491,188.959,88.015,81.865
Acquisti consumati,453.512,867.797,174.311,74.300,69.959
Spese per il personale,3.317,4.758,723,865,973
Risultato d'esercizio,11.125,14.147,2.252,1.071,2.638
Imposte sugli utili,3.112,4.351,636,552,658
Utile netto,3.849,8.473,1.989,834,460
Utile netto: quota del gruppo,1.962,5.125,1.392,319,132
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
