Millenium,2023,2022,2021,2020,2019
Fatturato,56.997,49.009,28.882,29.002,61.956
Proventi dalle attività ordinarie,61.263,53.044,33.346,29.002,61.956
Risultato operativo,3.270,311,-1.556,-6.266,-415
Costo dell'indebitamento finanziario netto,-243,-119,125,2,112
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,2.841,-139,-1.411,-6.143,-980
Utile netto: quota del gruppo,2.724,-177,-1.466,-5.776,-864
Chiusura esercizio fiscale,2023-10-31,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
