Millenium,2022,2021,2020,2019,2018
Fatturato,306.297,241.994,142.455,191.852,188.079
Proventi dalle attività ordinarie,307.546,244.604,142.768,192.453,189.561
Risultato operativo,-6.033,-3.002,-5.541,12.942,11.269
Costo dell'indebitamento finanziario netto,7.597,4.313,3.291,4.068,3.920
Risultato delle aziende associate al bilancio di Gruppo,322,9.501,-11,285,-1.591
Risultato netto delle attività dismesse,,,,,
Utile netto,-14.267,545,-7.850,5.982,4.533
Utile netto: quota del gruppo,-14.281,-977,-7.662,6.048,4.671
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
