Millenium,2023,2022,2021,2020,2019
Fatturato,16.296,15.788,15.316,15.805,17.974
Proventi dalle attività ordinarie,16.296,15.788,15.316,15.805,17.974
Risultato operativo,836,606,-3.529,2.104,3.175
Costo dell'indebitamento finanziario netto,1.167,822,1.110,1.185,1.337
Risultato delle aziende associate al bilancio di Gruppo,-29,23,38,18,-3
Risultato netto delle attività dismesse,0,0,,,16
Utile netto,-1.107,-2.654,-8.400,7.352,1.242
Utile netto: quota del gruppo,-1.441,-2.925,-8.652,7.224,916
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
