Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,1.276.128,920.281,1.029.021,819.677,979.487
Oneri generali d'esercizio,593.079,557.344,489.712,466.714,525.460
Risultato di gestione lordo,683.049,362.937,485.275,292.287,395.007
Costo del rischio,-59.470,-34.225,-146.133,-161.704,-225.264
Risultato di gestione,623.579,328.712,339.142,130.583,169.743
Risultato delle aziende associate al bilancio di Gruppo,38.524,27.768,35.901,26.997,25.529
Risultato corrente ante imposte,660.284,353.890,374.545,156.927,194.996
Utile netto,461.162,251.321,275.020,109.743,139.474
Utile netto: quota del gruppo,461.162,251.321,268.634,106.597,137.435
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
