Millenium,2023,2022,2021,2020,2019
Fatturato,15.056,8.036,4.502,5.722,3.803
Acquisti consumati,3.985,4.041,1.527,1.849,-1.330
Spese per il personale,3.984,3.071,2.536,1.837,1.626
Risultato d'esercizio,3.518,784,1.505,253,1.914
Imposte sugli utili,744,-20,181,-157,441
Utile netto,2.521,610,1.343,311,1.421
Utile netto: quota del gruppo,2.109,486,1.305,311,1.421
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
