Millenium,2023,2022,2021
Fatturato,13.024,14.573,9.022
Acquisti consumati,6.611,7.840,
Spese per il personale,2.696,2.092,1.548
Risultato d'esercizio,-639,844,91
Imposte sugli utili,142,155,59
Utile netto,-1.079,49,21
Utile netto: quota del gruppo,-1.079,49,21
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
