Millenium,2023,2022,2021,2020,2019
Fatturato,29.540,16.881,11.388,10.021,37.441
Acquisti consumati,3.007,242,207,285,641
Spese per il personale,4.674,3.091,2.881,3.480,6.766
Risultato d'esercizio,1.224,188,-74,-4.056,-2.950
Imposte sugli utili,418,131,6,-1.042,-634
Utile netto,665,219,-120,-3.076,-3.649
Utile netto: quota del gruppo,330,190,-120,-3.099,-3.718
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
