Millenium,2023,2022,2021,2020,2019
Fatturato,1.234,1.342,0,0,
Proventi dalle attività ordinarie,1.238,1.406,721,0,
Risultato operativo,-3.003,-2.170,-99,-757,-923
Costo dell'indebitamento finanziario netto,34,63,0,3,5
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-3.018,-2.258,-287,-757,-923
Utile netto: quota del gruppo,-3.018,-2.258,-287,-757,-923
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
