Millenium,2023,2022,2021,2020,2019
Fatturato,11.874,9.980,6.528,7.342,9.099
Proventi dalle attività ordinarie,11.898,9.991,6.533,7.408,9.118
Risultato operativo,437,98,-2.219,-845,456
Costo dell'indebitamento finanziario netto,107,133,112,132,114
Risultato delle aziende associate al bilancio di Gruppo,60,-65,9,37,-18
Risultato netto delle attività dismesse,-6,106,-61,,
Utile netto,179,-209,-2.467,-1.117,98
Utile netto: quota del gruppo,179,-209,-2.467,-1.136,12
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
