Millenium,2023,2022,2021,2020,2019
Fatturato,96.813,79.523,67.536,56.541,51.365
Acquisti consumati,690,353,109,113,70
Spese per il personale,64.955,54.075,42.526,36.741,34.994
Risultato d'esercizio,2.860,2.624,4.041,2.914,1.479
Imposte sugli utili,1.151,1.133,994,1.014,410
Utile netto,255,806,2.673,1.506,743
Utile netto: quota del gruppo,-54,634,2.672,1.506,744
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
