Millenium,2023,2022,2021
Fatturato,6.340.262,5.994.768,8.142.366
Acquisti consumati,2.797.330,3.505.788,5.474.294
Spese per il personale,397.190,394.311,421.246
Risultato d'esercizio,633.318,151.289,554.259
Imposte sugli utili,94.909,-92.853,21.147
Utile netto,400.134,65.234,475.562
Utile netto: quota del gruppo,400.134,65.234,475.562
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
