Millenium,2023,2022,2021,2020,2019
Fatturato,24.546,22.127,23.066,23.131,25.901
Proventi dalle attività ordinarie,28.765,24.223,23.344,23.339,26.117
Risultato operativo,-13.070,-1.988,-1.428,-1.864,-4.275
Costo dell'indebitamento finanziario netto,139,174,217,241,280
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-13.419,-1.860,-1.700,-2.098,-5.146
Utile netto: quota del gruppo,-13.390,-1.776,-1.604,-2.023,-4.819
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
