Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,343.579,265.557,271.184,174.816,66.844
Oneri generali d'esercizio,254.102,205.512,149.877,123.688,84.994
Risultato di gestione lordo,89.477,60.045,110.575,42.514,-21.297
Costo del rischio,64.763,48.184,-16.880,-3.822,-7.210
Risultato di gestione,154.240,108.229,93.695,38.692,-28.507
Risultato delle aziende associate al bilancio di Gruppo,-3.493,-7.633,,0,
Risultato corrente ante imposte,151.741,100.862,80.848,38.692,-28.507
Utile netto,103.814,75.326,65.591,31.086,-16.140
Utile netto: quota del gruppo,104.400,75.326,65.591,31.086,-16.140
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
