Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,80.122,73.474,69.172,57.055,57.080
Oneri generali d'esercizio,60.506,56.136,51.969,54.795,46.939
Risultato di gestione lordo,19.616,17.338,14.869,9.026,7.655
Costo del rischio,-3.354,-1.536,-1.197,407,-539
Risultato di gestione,16.262,15.802,13.672,9.433,7.116
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,16.262,15.802,13.544,13.646,11.381
Utile netto,12.123,11.129,11.625,8.298,8.728
Utile netto: quota del gruppo,12.123,11.129,11.713,8.709,8.371
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
