Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,3.988,3.628,3.855,3.181,3.846
Oneri generali d'esercizio,4.207,4.354,4.006,3.281,3.712
Risultato di gestione lordo,-219,-726,-184,-129,134
Costo del rischio,-59,-117,-83,-30,-47
Risultato di gestione,-278,-843,-267,-159,87
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,-262,-803,-267,-159,81
Utile netto,-261,-796,-271,-139,15
Utile netto: quota del gruppo,-261,-796,-271,-139,15
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
