Millenium,2023,2022,2021,2020,2019
Fatturato,29.781,28.452,28.452,28.098,31.654
Proventi dalle attività ordinarie,39.065,40.528,28.452,37.495,39.732
Risultato operativo,-8.815,-23.076,-17.226,-11.607,2.878
Costo dell'indebitamento finanziario netto,948,613,197,449,582
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-9.856,-23.780,-15.724,-7.662,-983
Utile netto: quota del gruppo,-9.856,-23.780,-15.724,-7.662,-983
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
