Millenium,2023,2022,2021,2020,2019
Fatturato,19.359,14.980,13.719,9.430,12.172
Acquisti consumati,55,44,33,17,133
Spese per il personale,1.964,1.568,1.176,1.040,1.702
Risultato d'esercizio,983,-549,1.419,1.214,-1.110
Imposte sugli utili,449,29,587,471,10
Utile netto,489,-619,824,709,-1.202
Utile netto: quota del gruppo,496,-649,584,484,-1.249
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
