Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,1.905.069,1.399.595,1.598.913,1.214.744,1.469.135
Oneri generali d'esercizio,777.070,715.671,613.451,577.771,540.861
Risultato di gestione lordo,1.127.999,683.924,936.558,590.858,866.635
Costo del rischio,-61.594,-36.959,-46.469,-59.593,-52.559
Risultato di gestione,1.066.405,646.965,890.089,531.265,814.076
Risultato delle aziende associate al bilancio di Gruppo,,,,,-75.100
Risultato corrente ante imposte,1.067.168,643.839,890.467,531.422,738.987
Utile netto,821.870,506.829,713.055,434.462,565.432
Utile netto: quota del gruppo,821.870,506.829,713.055,434.462,565.432
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
