Millenium,2023,2022,2021,2020
Fatturato,1.879.060,2.063.441,679.295,706.064
Acquisti consumati,332.786,493.206,85.325,22495
Spese per il personale,242.181,213.753,19.586,43.428
Risultato d'esercizio,-2.434.677,-890.180,92.578,-38073
Imposte sugli utili,0,17.594,31.346,0
Utile netto,-2.517.217,-942.097,13.836,-646.471
Utile netto: quota del gruppo,-2.517.217,-942.097,13.836,-64647
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP
