Millenium,2023,2022,2021,2020,2019
Fatturato,12.128,11.386,11.220,10.526,10.959
Proventi dalle attività ordinarie,12.128,11.386,11.220,10.526,10.959
Risultato operativo,2.620,2.396,1.846,1.524,1.774
Costo dell'indebitamento finanziario netto,-58,-82,-90,-66,-54
Risultato delle aziende associate al bilancio di Gruppo,20,-6,26,5,112
Risultato netto delle attività dismesse,,,,,
Utile netto,1.933,1.583,1.580,1.206,1.342
Utile netto: quota del gruppo,1.922,1.578,1.578,1.207,1.342
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
