Millenium,2023,2022,2021,2020
Fatturato,33.147,32.284,30.646.279,28.873.056
Proventi dalle attività ordinarie,33.977,33.546,,
Risultato operativo,709,1.574,,
Costo dell'indebitamento finanziario netto,776,492,,
Risultato delle aziende associate al bilancio di Gruppo,,,,
Risultato netto delle attività dismesse,,,,
Utile netto,-456,863,1.143.795,753.417
Utile netto: quota del gruppo,-276,1.008,1.147.492,951.747
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,Local GAAP,Local GAAP
