Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,6.084,-8.998,30.198,10.352,15.174
Oneri generali d'esercizio,2.310,1.844,2.086,1.636,1.817
Risultato di gestione lordo,3.774,-10.842,28.016,8.618,13.263
Costo del rischio,268,-45,-1.538,-500,-1.088
Risultato di gestione,4.042,-10.887,26.478,8.118,12.175
Risultato delle aziende associate al bilancio di Gruppo,572,874,527,1.355,
Risultato corrente ante imposte,4.603,-9.178,27.005,9.473,12.175
Utile netto,3.434,-9.245,26.682,7.940,12.581
Utile netto: quota del gruppo,2.647,-8.907,26.210,7.936,12.585
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
