Millenium,2023,2022,2021,2020,2019
Fatturato,65.319,46.657,62.323,62.159,44.763
Proventi dalle attività ordinarie,65.319,46.657,62.323,62.159,44.763
Risultato operativo,2.088,-12.505,7.369,683,-1.566
Costo dell'indebitamento finanziario netto,444,95,313,977,502
Risultato delle aziende associate al bilancio di Gruppo,,,-27,-115,-94
Risultato netto delle attività dismesse,-2.081,-3.763,-3.108,,
Utile netto,776,-15.853,2.971,-66,-2.376
Utile netto: quota del gruppo,762,-15.836,2.970,-3,-2.374
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
