Millenium,2023,2022,2021,2020,2019
Fatturato,26.657,34.261,18.494,16.667,15.642
Acquisti consumati,18.420,24.137,12.377,12.716,8.291
Spese per il personale,4.508,3.967,1.822,1.914,1.696
Risultato d'esercizio,593,512,391,-308,343
Imposte sugli utili,95,-64,81,-167,13
Utile netto,-371,7,10,-311,63
Utile netto: quota del gruppo,-227,34,10,-311,63
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
