Millenium,2023,2022,2021,2020,2019
Fatturato,519.967,468.851,362.437,306.713,323.725
Proventi dalle attività ordinarie,519.967,468.851,362.437,306.713,323.725
Risultato operativo,149.792,82.713,71.164,47.697,64.214
Costo dell'indebitamento finanziario netto,8.929,1.108,1.419,1.534,1.929
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,122.580,86.891,60.203,45.735,52.980
Utile netto: quota del gruppo,122.392,86.596,60.019,45.627,53.053
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
