Millenium,2023,2022,2021,2020,2019
Fatturato,27.546,25.644,23.685,20.302,16.493
Proventi dalle attività ordinarie,30.209,26.483,24.140,20.302,16.493
Risultato operativo,1.368,2.880,2.209,837,1.950
Costo dell'indebitamento finanziario netto,0,350,153,-329,-554
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,925,2.695,2.488,1.015,1.970
Utile netto: quota del gruppo,925,2.695,2.515,1.024,1.970
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
