Millenium,2023,2022,2021,2020,2019
Fatturato,15.354,16.067,12.736,10.016,11.519
Proventi dalle attività ordinarie,15.354,16.067,12.736,10.016,11.519
Risultato operativo,860,802,545,335,545
Costo dell'indebitamento finanziario netto,104,104,104,87,99
Risultato delle aziende associate al bilancio di Gruppo,,47,27,18,24
Risultato netto delle attività dismesse,,,,,
Utile netto,547,509,310,174,296
Utile netto: quota del gruppo,529,504,308,178,292
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
