Millenium,2023,2022,2021,2020,2019
Fatturato,566.317,605.723,588.299,469.778,433.953
Proventi dalle attività ordinarie,568.649,607.797,588.299,469.778,433.953
Risultato operativo,37.224,46.755,52.904,32.942,22.022
Costo dell'indebitamento finanziario netto,15.273,4.741,2.576,3.138,1.281
Risultato delle aziende associate al bilancio di Gruppo,2,0,0,-2.144,89
Risultato netto delle attività dismesse,,0,0,0,
Utile netto,19.922,31.165,33.111,19.612,13.126
Utile netto: quota del gruppo,19.075,30.268,32.508,19.300,12.949
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
