Millenium,2023,2022,2021,2020,2019
Fatturato,11.373.826,15.777.146,8.561.324,5.184.875,9.369.093
Proventi dalle attività ordinarie,11.373.826,15.777.146,8.561.324,5.184.875,9.369.093
Risultato operativo,452.862,965.635,78.496,-341.111,54.092
Costo dell'indebitamento finanziario netto,38.313,30.500,19.708,16.365,18.248
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,313.937,416.916,9.334,-275.516,26.154
Utile netto: quota del gruppo,313.937,416.916,9.334,-275.516,26.154
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
