Millenium,2023,2022,2021,2020,2019
Fatturato,51.613.135,27.102.638,7.402.319,3.991.991,33.925.127
Acquisti consumati,50.950,9.384,7.165,53.601,52.795
Spese per il personale,4.183.060,2.622.610,1.540.336,1.694.480,3.767.366
Risultato d'esercizio,-1.966.592,-1.203.771,-2.173.891,-2.908.781,-2.878.742
Imposte sugli utili,-246.315,-353.719,-268.672,-482.062,0
Utile netto,-2.253.123,-951.242,-1.973.504,-2.444.810,-2.892.345
Utile netto: quota del gruppo,-2.353.293,-951.242,-1.973.504,-2.444.648,-2.892.345
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
