Millenium,2022,2021,2020,2019,2018
Fatturato,3.456,3.894,5.053,2.766,113
Proventi dalle attività ordinarie,3.761,3.959,5.165,3.404,208
Risultato operativo,-1.479,-1.595,35,-21,-838
Costo dell'indebitamento finanziario netto,228,181,123,103,79
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-1.779,-2.688,-65,-301,-917
Utile netto: quota del gruppo,-1.779,-2.688,-65,-301,-917
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
