Millenium,2022,2021,2020,2019,2018
Prodotto netto bancario,2.709.506,2.302.936,2.348.503,2.126.207,2.249.854
Oneri generali d'esercizio,1.441.672,1.290.717,1.173.272,1.046.032,1.233.763
Risultato di gestione lordo,1.267.834,1.012.219,1.175.231,996.402,971.927
Costo del rischio,-231.990,-213.178,-303.481,-388.897,-210.513
Risultato di gestione,1.035.844,799.041,871.750,607.505,761.414
Risultato delle aziende associate al bilancio di Gruppo,453.860,359.254,271.732,304.269,321.157
Risultato corrente ante imposte,1.424.530,1.161.649,1.080.980,814.933,1.082.737
Utile netto,1.029.830,909.654,809.199,601.429,826.208
Utile netto: quota del gruppo,1.026.796,906.977,807.576,600.382,823.025
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
