Millenium,2023,2022,2021,2020,2019
Fatturato,32.461,2.365,1.168,15.281,3.769
Acquisti consumati,9.495,22.197,2.122,8.550,2.576
Spese per il personale,2.593,1.902,610,1.887,258
Risultato d'esercizio,-1.963,718,78,1.701,615
Imposte sugli utili,-465,227,-75,305,191
Utile netto,-1.728,-225,114,1.300,423
Utile netto: quota del gruppo,-1.728,-225,114,1.290,423
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
